ano_de_exercicio;unidade_orcamentaria_sigla;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;ano_empenho;numero_empenho;data_registro_doc_empenho;numero_processo_compra_siad;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;razao_social_credor;cnpj_cpf_credor_formatado;valor_despesa_empenhada;valor_despesa_liquidada;valor_pago_financeiro
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;1;2024-01-30;1081017 000085/2023;52;EQUIPAMENTOS E MATERIAL PERMANENTE;7;EQUIPAMENTOS DE INFORMATICA;95;RECURSOS RECEBIDOS POR DANOS ADVINDOS DE DESASTRES SOCIOAMBIENTAIS;COMPIT SOLUCOES EM TI LTDA - EPP;19.222.806/0001-52;76000,0;76000,0;76000,0
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;2;2024-01-31;1081017 000080/2022;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;6;AQUISIÇÃO DE SOFTWARE;95;RECURSOS RECEBIDOS POR DANOS ADVINDOS DE DESASTRES SOCIOAMBIENTAIS;STEFANINI CONSULTORIA E ASSESSORIA EM INFORMATICA S.A.;58.069.360/0001-20;176061,6;176061,6;167610,64
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;3;2024-01-31;1081017 000010/2023;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;3;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;95;RECURSOS RECEBIDOS POR DANOS ADVINDOS DE DESASTRES SOCIOAMBIENTAIS;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEM;16.636.540/0001-04;855123,35;589423,1;546395,09
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;4;2024-02-28;1081017 000004/2024;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;4;SERVICO DE TELECOMUNICACAO;95;RECURSOS RECEBIDOS POR DANOS ADVINDOS DE DESASTRES SOCIOAMBIENTAIS;FEGO ENGENHARIA E CONSULTORIA LTDA;21.343.804/0001-63;98556,04;98556,04;98556,04
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;5;2024-04-19;1081017 000024/2024;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;6;AQUISIÇÃO DE SOFTWARE;95;RECURSOS RECEBIDOS POR DANOS ADVINDOS DE DESASTRES SOCIOAMBIENTAIS;M.I. MONTREAL INFORMATICA S.A;42.563.692/0001-26;476496,6;413189,84;383026,98
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;8;2024-07-02;1081017 000081/2023;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;6;AQUISIÇÃO DE SOFTWARE;95;RECURSOS RECEBIDOS POR DANOS ADVINDOS DE DESASTRES SOCIOAMBIENTAIS;ATTUS PROCURADORIA DIGITAL LTDA;02.108.681/0001-31;178800,0;114800,0;109289,6
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;32;2024-01-29;1081017 000028/2020;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;42000,0;37119,2;35337,49
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;33;2024-01-29;1081017 000029/2020;40;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO -  PESSOA JURIDICA;5;REDE IP MULTISSERVICOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;13000,0;11250,7;10710,66
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;34;2024-01-29;1081017 000036/2023;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;DISTRIBUIDORA DE AGUAS MINERAIS BH LTDA -EPP;00.201.182/0001-69;58830,0;58830,0;58830,0
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;35;2024-01-29;1081017 000055/2023;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;61;SERVICOS DE CONSERVACAO E LIMPEZA;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;ZAP MUSIC E DEDETIZADORA LTDA;28.964.042/0001-61;8580,68;7320,34;7320,34
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;36;2024-01-29;1081017 000023/2017;39;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;20;LOCACAO DE BENS IMOVEIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;RLA PARTICIPACOES E LOCACOES DE IMOVEIS LTDA;14.531.085/0001-49;2673126,2;2430367,62;2313619,98
2024;AGE;1081;ADVOCACIA GERAL DO ESTADO;2024;38;2024-01-29;1081017 000007/2023;33;PASSAGENS E DESPESAS COM LOCOMOCAO;4;PASSAGENS - PESSOA JURIDICA;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;VOETUR TURISMO E REPRESENTACOES LTDA;01.017.250/0001-05;112944,14;73955,74;72214,1
