ano_de_exercicio;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;valor_pago_financeiro;valor_pago_processado;valor_pago_nao_processado;valor_pago_rp
2022;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;35762406,77;4065417,18;2244249,52;6309666,7
2022;1081;ADVOCACIA GERAL DO ESTADO;998941873,86;14711108,9;5367326,43;20078435,33
2022;1101;OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS;11757162,48;0,0;36247,74;36247,74
2022;1191;SECRETARIA DE ESTADO DE FAZENDA;1475159288,69;10728442,75;69971290,96;80699733,71
2022;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;75856018,97;467,76;10588548,64;10589016,4
2022;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA;183911092,06;926349,93;4138969,75;5065319,68
2022;1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;12732571407,31;41558515,4;216807656,75;258366172,15
2022;1261;SECRETARIA DE ESTADO DE EDUCACAO;15837680952,16;585170446,71;757153016,96;1342323463,67
2022;1271;SECRETARIA DE ESTADO DE CULTURA E TURISMO;69678332,78;20181416,68;10134142,55;30315559,23
2022;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;444238275,33;18353119,53;36819044,67;55172164,2
2022;1371;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL;172435676,13;4368130,43;4287377,26;8655507,69
2022;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;1547930780,08;4065273,59;42151132,62;46216406,21
2022;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;3238880805,17;13141756,77;89952770,89;103094527,66
2022;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;128851499,22;5411868,7;11509155,9;16921024,6
2022;1491;SECRETARIA DE ESTADO DE GOVERNO;1572502930,45;1541639,23;16627368,43;18169007,66
2022;1501;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;301346762,92;19114485,82;77403990,66;96518476,48
2022;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;3072423500,15;18094662,5;61379561,55;79474224,05
2022;1521;CONTROLADORIA-GERAL DO ESTADO;55212108,02;0,0;239632,61;239632,61
2022;1541;ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS;16887894,92;0,0;256633,48;256633,48
2022;1631;SECRETARIA-GERAL;39409640,61;475922,2;24058202,1;24534124,3
2022;1911;EGE SEC.FAZENDA-ENCARGOS DIVERSOS;11477261273,86;557959,57;85266341,89;85824301,46
2022;1915;PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS;525455877,98;0,0;28198078,12;28198078,12
2022;1916;GESTAO DA DIVIDA PUBLICA ESTADUAL;5517860023,27;28843343,77;0,0;28843343,77
2022;1941;EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;201288736,28;0,0;0,0;0,0
2022;2011;INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS;1307994655,9;423878,41;127022888,49;127446766,9
2022;2041;LOTERIA DO ESTADO DE MINAS GERAIS;5925515,6;4598,79;1296981,73;1301580,52
2022;2061;FUNDACAO JOAO PINHEIRO;56790483,53;141507,05;1655021,81;1796528,86
2022;2071;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;429159889,95;50484697,07;12791969,37;63276666,44
2022;2091;FUNDACAO ESTADUAL DO MEIO AMBIENTE;40766476,92;27692,5;11647,71;39340,21
2022;2101;INSTITUTO ESTADUAL DE FLORESTAS;183865965,58;1981216,45;3389073,5;5370289,95
2022;2121;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;2000806584,11;94866365,35;67386629,63;162252994,98
2022;2151;FUNDACAO HELENA ANTIPOFF;50120409,8;4125,0;6086840,51;6090965,51
2022;2161;FUNDACAO EDUCACIONAL CAIO MARTINS;14946425,03;15535,07;2608678,68;2624213,75
2022;2171;FUNDACAO DE ARTE DE OURO PRETO;4144793,59;67,5;13446,09;13513,59
2022;2181;FUNDACAO CLOVIS SALGADO;43171411,16;0,0;418535,58;418535,58
2022;2201;INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS;19187028,92;0,0;934662,77;934662,77
2022;2211;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;18947352,89;140686,89;756689,71;897376,6
2022;2241;INSTITUTO MINEIRO DE GESTAO DAS AGUAS;64595191,74;10437314,16;1573915,38;12011229,54
2022;2251;JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS;29578426,34;0,0;671682,59;671682,59
2022;2261;FUNDACAO EZEQUIEL DIAS;252638336,78;101930917,99;47063914,03;148994832,02
2022;2271;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;2143497567,57;3753299,71;42680567,96;46433867,67
2022;2281;FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS;6627633,67;7006,0;1513188,14;1520194,14
2022;2301;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;1248196121,6;3419688,86;168251149,94;171670838,8
2022;2311;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;403987795,94;1669347,22;67683789,96;69353137,18
2022;2321;FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS;290862823,02;255386,81;25746888,77;26002275,58
2022;2331;INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS;26064598,71;333694,72;520848,74;854543,46
2022;2351;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;419107102,61;380901,69;13513330,29;13894231,98
2022;2371;INSTITUTO MINEIRO DE AGROPECUARIA;260025427,44;11259,94;7021591,43;7032851,37
2022;2421;INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS;45692556,63;976681,46;14019630,84;14996312,3
2022;2431;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;5805259,67;0,0;23921,89;23921,89
2022;2441;AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA;15008695,06;0,0;744776,36;744776,36
2022;2461;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO;2891473,26;114,72;64611,25;64725,97
2022;4091;FUNDO PARA A INFANCIA E A ADOLESCENCIA;;0,0;0,0;0,0
2022;4101;FUNDO ESTADUAL DE HABITACAO;16080240,21;0,0;517189,73;517189,73
2022;4141;FUNDO PENITENCIARIO ESTADUAL;13353865,57;1574,5;5560409,71;5561984,21
2022;4251;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;187462418,98;98887758,57;4684458,53;103572217,1
2022;4291;FUNDO ESTADUAL DE SAUDE;9231614379,46;554014631,28;786454402,18;1340469033,46
2022;4331;FUNDO DE DESENVOLVIMENTO METROPOLITANO;143721,71;;;
2022;4341;FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M;2557135,68;0,0;129135,76;129135,76
2022;4381;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;52665792,69;0,0;5954269,9;5954269,9
2022;4421;FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS;1278479,27;0,0;0,0;0,0
2022;4451;FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR;9730140,45;0,0;2888273,21;2888273,21
2022;4491;FUNDO ESTADUAL DE CULTURA;9336561,16;0,0;0,0;0,0
2022;4541;FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS;315480,44;0,0;0,0;0,0
2022;4551;FUNDO DE ASSISTENCIA AO PECULIO DOS SERVIDORES DO ESTADO DE MINAS GERAIS;155079704,45;12273523,84;0,0;12273523,84
2022;4601;FUNDO ESTADUAL DOS DIREITOS DO IDOSO;239551,64;80000,0;80000,0;160000,0
2022;4631;FUNDO DE PAGAMENTO DE PARCERIAS PUBLICO - PRIVADAS DE MINAS GERAIS;238193664,04;275729,74;15778864,88;16054594,62
2022;4691;FUNDO ESTADUAL DE SEGURANCA PUBLICA DE MINAS GERAIS;9347783,02;1094891,98;4039900,86;5134792,84
2022;4701;FUNDO ESTADUAL DO TRABALHO DE MINAS GERAIS;0,0;0,0;0,0;0,0
2022;4711;FUNDO FINANCEIRO DE PREVIDENCIA DO ESTADO DE MINAS GERAIS;15328734230,09;0,0;79198,5;79198,5
