ano_de_exercicio;unidade_orcamentaria_sigla;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;valor_despesa_empenhada;valor_despesa_liquidada;valor_pago_financeiro;valor_liquidado_rp;valor_pago_rp
2026;AGE;1081;ADVOCACIA GERAL DO ESTADO;22412731,08;16039235,06;14066345,68;2688406,55;216906545,16
2026;AGÊNCIA RMBH;2431;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;1758306,07;1592927,63;1371061,21;60903,67;227156,84
2026;ALMG;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;175948863,65;106017806,99;85902072,35;35254649,02;32694704,95
2026;ARMVA;2461;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO;2872182,23;1504523,2;1299770,19;706301,57;685196,49
2026;ARSAE -MG;2441;AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA;2442953,43;1410608,42;1185185,46;154717,57;148604,18
2026;ARTEMIG;2471;AGENCIA REGULADORA DE TRANSPORTES DO ESTADO DE MINAS GERAIS;24188305,35;17269584,22;15512207,22;2353030,07;2159796,82
2026;CBMMG;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;75370726,47;28114937,7;24487872,3;42530538,57;46545225,95
2026;CGE;1521;CONTROLADORIA-GERAL DO ESTADO;3402906,48;2255652,7;2074019,78;1345976,77;1316450,02
2026;DEF PUB;1441;DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS;76885034,74;69558603,72;62241413,7;14753073,98;13728095,95
2026;DER-MG;2301;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;1374404682,84;681123520,74;636990790,46;328950376,63;330388180,83
2026;DETRAN/MG;2481;DEPARTAMENTO ESTADUAL DE TRANSITO DE MINAS GERAIS;33838025,62;9884312,93;9218013,07;;
2026;EGE - SEF;1911;EGE SEC.FAZENDA-ENCARGOS DIVERSOS;5089748,28;3949462,01;3945099,24;73808566,6;73808566,6
2026;EGE-SEPLAG;1941;EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;2193789,5;684033,7;663142,76;932410,06;895934,49
2026;EMATER;3041;EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS;210407094,06;210407094,06;210407094,06;;
2026;EMC;3151;EMPRESA MINEIRA DE COMUNICACAO;17658291,2;17658291,2;17658291,2;;
2026;EMG - ADM. DIRETA;9999;EMG - ADMINISTRACAO DIRETA;;;;;
2026;EPAMIG;3051;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS;85431443,5;85431443,5;85431443,5;;
