unnamed_1;unnamed_2;unnamed_3;unnamed_4;unnamed_5;unnamed_6;unnamed_7;unnamed_8;unnamed_9
Ano de Exercício;Unidade Orçamentária - Sigla;Unidade Orçamentária - Código;Unidade Orçamentária - Nome;Valor Despesa Empenhada;Valor Despesa Liquidada;Valor Pago Financeiro;Valor Liquidado RP;Valor Pago RP
2025;AGE;1081;ADVOCACIA GERAL DO ESTADO;35640126.45;27348088.54;20438708.9;2761361.24;14037404.22
2025;AGÊNCIA RMBH;2431;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE;3225983.07;3093158.3;2631436.82;40931.07;86194.77
2025;ALMG;1011;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;180752861.99;146764885.94;133127529.7;42443642.8;40405526.9
2025;ARMVA;2461;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO;2521986.68;1647855.54;1285030.9;179384.15;188729.41
2025;ARSAE -MG;2441;AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA;2325270.98;2026027.35;1865779.96;239308.51;314860.33
2025;ARTEMIG;2471;AGENCIA REGULADORA DE TRANSPORTES DO ESTADO DE MINAS GERAIS;8531156.08;5315265.48;4942154.98;;
2025;CBMMG;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;126194932.14;52021493.06;46111572.42;75929172.04;76393352.49
2025;CGE;1521;CONTROLADORIA-GERAL DO ESTADO;5232552.78;3872588.41;3646547.81;915269.58;947061.65
2025;DEF PUB;1441;DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS;130365415.96;111505603.48;100336825.21;20653850.41;19513314.18
2025;DER-MG;2301;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;1815023530.84;1332106225.01;1297735416.5;420007538.96;426112871.08
2025;EGE - SEF;1911;EGE SEC.FAZENDA-ENCARGOS DIVERSOS;;;;70456474.19;70456474.19
2025;EGE-SEPLAG;1941;EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;2536179.04;1269290.38;1179341.08;1701683.69;1697355.45
2025;EMATER;3041;EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS;411646902.58;411646902.58;411646902.58;;
2025;EMC;3151;EMPRESA MINEIRA DE COMUNICACAO;30003569.6;30003569.6;30003569.6;;
2025;EMG - ADM. DIRETA;9999;EMG - ADMINISTRACAO DIRETA;;;;;
2025;EPAMIG;3051;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS;150702794.76;150702794.76;150702794.76;;
2025;ESP MG;1541;ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS;7783341.19;6018691.52;5313682.37;392566.27;351886.66
2025;FAHMEMG;4541;FUNDO DE APOIO HABITACIONAL AOS MILITARES DO ESTADO DE MINAS GERAIS;350405;318593.91;300914.63;27969.18;26392.47
2025;FAOP;2171;FUNDACAO DE ARTE DE OURO PRETO;1235187.01;1064156.13;896988.43;190937.95;658222.08
